seed,variant,delta_rms_rad,tau_step_rms_Nm,centroid_Hz,rho_above_5Hz
0,baseline,0.0667643,2.33675,3.29228,0.0508684
1,baseline,0.0717005,2.50952,3.12609,0.0530789
2,baseline,0.0708845,2.48096,4.01473,0.201093
3,baseline,0.0747028,2.6146,3.51282,0.153142
4,baseline,0.0667664,2.33683,3.34811,0.0653095
0,no_orientation,0.0679427,2.37799,3.42476,0.0813818
1,no_orientation,0.0720595,2.52208,3.44257,0.088039
2,no_orientation,0.0773507,2.70728,4.70095,0.312907
3,no_orientation,0.0695672,2.43485,3.39659,0.0717234
4,no_orientation,0.0741637,2.59573,3.02445,0.0411213
0,no_feet_air_time,0.0695742,2.4351,3.16173,0.0488027
1,no_feet_air_time,0.0721274,2.52446,3.44419,0.160416
2,no_feet_air_time,0.0687088,2.40481,3.44373,0.0803822
3,no_feet_air_time,0.0692533,2.42387,3.79954,0.192133
4,no_feet_air_time,0.0743923,2.60373,3.4145,0.0809317
0,no_action_rate,0.0723444,2.53205,3.4339,0.118575
1,no_action_rate,0.0684453,2.39558,3.49651,0.134082
2,no_action_rate,0.0753505,2.63727,3.24101,0.0503544
3,no_action_rate,0.0761675,2.66586,3.25499,0.0529756
4,no_action_rate,0.0744882,2.60709,3.51102,0.16811
0,no_gait_terms,0.0747326,2.61564,4.98282,0.146313
1,no_gait_terms,0.0746743,2.6136,4.505,0.167197
2,no_gait_terms,0.0861863,3.01652,6.40535,0.253025
3,no_gait_terms,0.0825476,2.88916,6.25566,0.228883
4,no_gait_terms,0.0833061,2.91571,6.15811,0.215886
0,no_torques_energy,0.126672,4.43353,5.44486,0.363453
1,no_torques_energy,0.125658,4.39803,5.70826,0.465554
2,no_torques_energy,0.125397,4.38891,5.45827,0.435171
3,no_torques_energy,0.101041,3.53644,2.97226,0.0882773
4,no_torques_energy,0.129172,4.52102,5.59498,0.306266
0,task_only,0.15861,5.55134,10.4401,0.897559
1,task_only,0.169602,5.93606,10.7501,0.866924
2,task_only,0.158678,5.55372,11.0601,0.85924
3,task_only,0.151746,5.31112,10.5617,0.872698
4,task_only,0.167336,5.85678,10.5907,0.932393
