load_Nm,rho,H,H_rel,tau_dc,tau_var
0.0,0.00,0.9482,1.0000,-0.0000,0.9482
0.0,0.02,1.7118,1.8054,0.0001,1.7118
0.0,0.05,2.9174,3.0769,0.0001,2.9174
0.0,0.10,5.1053,5.3843,0.0001,5.1053
0.0,0.20,10.3014,10.8645,0.0002,10.3014
0.0,0.40,25.8896,27.3048,0.0003,25.8896
2.0,0.00,4.9482,1.0000,2.0000,0.9482
2.0,0.02,5.7120,1.1544,2.0001,1.7118
2.0,0.05,6.9177,1.3980,2.0001,2.9174
2.0,0.10,9.1058,1.8402,2.0001,5.1053
2.0,0.20,14.3021,2.8904,2.0002,10.3014
2.0,0.40,29.8908,6.0408,2.0003,25.8896
5.0,0.00,25.9482,1.0000,5.0000,0.9482
5.0,0.02,26.7123,1.0294,5.0001,1.7118
5.0,0.05,27.9182,1.0759,5.0001,2.9174
5.0,0.10,30.1065,1.1603,5.0001,5.1053
5.0,0.20,35.3033,1.3605,5.0002,10.3014
5.0,0.40,50.8926,1.9613,5.0003,25.8896
10.0,0.00,100.9482,1.0000,10.0000,0.9482
10.0,0.02,101.7129,1.0076,10.0001,1.7118
10.0,0.05,102.9191,1.0195,10.0001,2.9174
10.0,0.10,105.1077,1.0412,10.0001,5.1053
10.0,0.20,110.3051,1.0927,10.0002,10.3014
10.0,0.40,125.8956,1.2471,10.0003,25.8896
20.0,0.00,400.9482,1.0000,20.0000,0.9482
20.0,0.02,401.7139,1.0019,20.0001,1.7118
20.0,0.05,402.9208,1.0049,20.0001,2.9174
20.0,0.10,405.1102,1.0104,20.0001,5.1053
20.0,0.20,410.3088,1.0233,20.0002,10.3014
20.0,0.40,425.9017,1.0622,20.0003,25.8896
