scheme,n,H,H_sd,H_rel,vel_err,vel_sd,vel_rel,ripple_frac,steps_alive,fall_rate,d_H,d_vel
zoh,30,256.2352,74.25148,1.0,0.06405,0.0128,1.0,0.65825,500.0,0.0,0.0,0.0
linear,30,244.8863,66.60975,0.95571,0.06711,0.01288,1.04777,0.64728,500.0,0.0,-0.30889,0.12667
butter_5,30,281.2848,128.72049,1.09776,0.16614,0.06526,2.5939,0.66497,450.66667,0.23333,-0.04,1.0
butter_8,30,242.279,70.39325,0.94553,0.09249,0.00783,1.44413,0.63888,500.0,0.0,-0.28444,0.92667
butter_12,30,239.62047,61.69935,0.93516,0.07431,0.00659,1.16017,0.63559,500.0,0.0,-0.27778,0.52
butter_lin_12,30,241.25237,65.49984,0.94153,0.08224,0.00624,1.28405,0.63816,500.0,0.0,-0.26444,0.75333
delay_sym,30,277.27293,121.34226,1.0821,0.15969,0.05631,2.49334,0.66369,480.06667,0.06667,-0.03333,1.0
predict,30,234.5576,63.08146,0.9154,0.08189,0.009,1.27863,0.62616,500.0,0.0,-0.33111,0.71111
gated,30,240.7899,65.98251,0.93972,0.07413,0.00745,1.15735,0.64147,500.0,0.0,-0.33111,0.49556
predict|raw,30,237.40883,65.07604,0.92653,0.07918,0.01065,1.2362,0.63056,500.0,0.0,-0.33333,0.63556
